list_page,panel,drawing_no,drawing_name,scale_a1,scale_a3
1,1,A0-002,목 록 표 -2,NONE,NONE
1,1,A0-003,목 록 -3,NONE,NONE
1,1,A0-004,목 록 표 -4,,
1,1,A0-005,목 록 표 -5,NONE,NONE
1,1,A0-006,목 록 표 -6,NONE,NONE
1,1,A0-007,목 록 표 -7,NONE,NONE
1,1,A0-009,목 록 표 -9,NONE,NONE
1,1,A0-021,도,NONE,NONE
1,1,A0-101,개 및 증 별 면 적 표,NONE,NONE
1,1,A0-111,도 및 주 변 현 왕 도,NONE,NONE
1,1,A0-112,구 적 도,NONE,NONE
1,1,A0-201,/2000,1:10001,
1,1,A0-202,증 By Al /2000,1:10001,
1,1,A0-203,종 횡 단 면 도,1:600,1:1200
1,1,A0-204,방 향 일 소 권 사 선 제 한,1:600,1:1200
1,1,A0-302,및 차 량 동 선 계 획 도 -1 ( 시 하 2 증 ),,
1,1,A0-303,및 차 량 동 선 계 획 도 -2 ( 시 하 1 증 ),1:400,1:800
1,1,A0-304,및 차 량 동 선 계 획 도 -3 ( 시 상 1 증 ) /2000,1:10001,
1,1,A0-305,차 량 동 선 계 획 도 /2000,1:10001,
1,1,A0-312,인 편 의 시 설 계 획 도 -2,NONE,NONE
1,1,A0-313,인 편 의 시 설 계 획 도 -3,NONE,NONE
1,1,A0-314,인 편 의 시 설 계 획 도 -4,1:400,1:800
1,1,A0-316,인 편 의 시 설 계 획 도 -6,1:400,1:800
1,1,A0-318,인 편 의 시 설 계 획 도 -8,1:400,1:800
1,1,A0-319,인 편 의 시 설 계 획 도 -9,1:400,1:800
1,1,A0-320,인 편 의 시 설 Al S = -10,1:400,
1,1,A0-321,인 편 의 시 설 계 획 도 -11,1:400,
1,1,A0-322,인 편 의 시 설 계 획 도 -12,1:400,1:800
1,2,A0-336,see tere 장 실 설 치 계 획 도 ( 시 하 2 증 ) _ ( 시 하 1 증 ) 쩨쩨,1:400,1:800
1,2,A0-343,(EB),1:400,1:800
1,2,A0-344,(EB),1:400,1:800
1,2,A0-346,(ZB),1:400,1:800
1,2,A0-347,획 도 -7 ( 도 민 편 의 시 설 ) 쩨쩨,,
1,2,A0-348,( 의 회 ) 쩨쩨,,
1,2,A0-349,획 도 -9_ ( 돌 봄 시 설 ) 쩨쩨,,
1,2,A0-354,(28),1:400,1:800
1,2,A0-359,(2h),1:400,1:800
1,2,A0-372,획 도 -2_ (Alors) 쩨쩨,,
1,2,A0-373,_ ( 시 반 증 ) 쩨쩨,,
1,2,A0-374,획 도 -4 _ ( 본 성 ) 쩨쩨,,
1,2,A0-376,(2S),1:400,1:800
1,2,A0-378,획 도 -8 ( 도 민 편 의 시 설 ) 쩨쩨,,
1,2,A0-391,음 계 획 도 -1 ( 지 하 2 증 ),1:400,1:800
1,2,A0-392,음 계 획 도 -2 ( 지 하 1 증 ),1:400,1:800
1,2,A0-394,음 422-4 (£8),1:400,1:800
1,2,A0-397,음 425-7 ( 도 민 편 의 시 설 ),1:400,1:800
1,2,A0-401,능 내 역 -1 .,1:10,1:20
1,2,A0-406,능 내 역 -6 “10 능 내 역 -7 “4/10,1:20,
1,3,A0-411,see 실 내 외 재 료 마 감 실 내 재 료 마 감 표 -1 ( 지 하 주 차 장 ) 실 내 재 료 마 감 표 -2 ( 지 하 주 차 장 ) 실 내 재 료 마 감 표 -3 ( 시 하 주 사 상 ),,NONE
1,3,A0-414,실 내 재 료 마 감 표 -4 (=),,NONE
1,3,A0-415,실 내 재 료 마 감 본,,NONE
1,3,A0-416,실 내 재 료 마 감 표 -6 (=),,
1,3,A0-417,실 내 재 료 마 감 표 -7 (ZS),,NONE
1,3,A0-418,실 내 재 료 마 감 표 -8 (ZS),,NONE
1,3,A0-419,실 내 재 료 마 감 표 -9 (ES),,NONE
1,3,A0-420,내 재 료 마 감 표 -10 ( 본 청 ),,
1,3,A0-421,실 내 재 료 마 감 표 -11( 의 회 ),,NONE
1,3,A0-422,실 내 재 료 마 감 표 -12 ( 의 회 ),,NONE
1,3,A0-423,실 내 재 료 마 감 표 -13 ( 도 민 편 의 시 설 ),,NONE
1,3,A0-424,실 내 재 료 마 감 표 -14( 도 민 편 의 시 설 ),,NONE
1,3,A0-425,실 내 재 료 마 감 표 -15 (BSA),,NONE
1,3,A0-426,내 재 료 마 감 표 -16 돌 봄 시 설,,
1,3,A0-431,내 재 료 마 감 상 세 도 -1,NONE,NONE
1,3,A0-432,실 내 재 료 마 감 상 세 도 -2,,
1,3,A0-433,내 재 료 마 감 상 세 도 -3,NONE,NONE
1,3,A0-434,실 내 재 료 마 감 상 세 도 -4,,
1,3,A0-511,연창 및 소 방 진 입창 설 치 계 획 도 -ｌ (8),1:400,1:800
1,3,A0-521,연창 상 세 도,,NONE
1,3,A0-534,난 동 선 계 획 도 -4 ( 본 청 ) _ ㅎ,,1:6001
1,3,A0-538,난 동 선 계 획 -8 ( 의 외 ),,
1,3,A0-539,난 동 선 게 획 도 -9 ( 돌 봄 시 설 ),,
2,1,A0-706,3g 바 닥 면 적 산 출 근 거 표,1:500,1:1000
2,1,A0-707,4 층 바 닥 면 적 산 줄 근 거 표,1:500,1:1000
2,1,A0-708,5~8 층 바 닥 면 적 산 출 근 거 표,1:500,1:1000
2,1,A0-709,9 증 바 닥 면 적 산 출 근 거 표,1:500,1:1000
2,1,A0-902,2 층 전 체 평 면도 쩨쩨,,
2,1,A0-903,1 층 전 체 평 면도 쩨쩨,,
2,1,A0-905,2 층 전 체 평 면도 쩨쩨,,
2,1,A0-906,전 체 평 면도 쩨쩨,,
2,1,A0-908,5 층 전 체 평 면도 쩨쩨,,
2,1,A0-909,6 층 전 체 평 면도 쩨쩨,,
2,1,A0-910,7 층 전 체 평 면도 쩨쩨,,
2,1,A0-912,SIS 전 세 평 면도,1:400,1:800
2,1,A0-913,전 체 평 면도,1:400,1:800
2,1,A0-914,시 웅 SABA,1:400,1:800
2,1,A0-921,입 면 도 ( 남 측 면 도 SS AT),1:500,1:1000
2,1,A0-922,", AAAS ASAT, 북 측 면",1:500,1:1000
3,1,A1-002,AS3 45 전 체 BAS,1:400,1:800
3,1,A1-003,쩨쩨,,
3,1,A1-004,"지 7,8,9 증 전 체 평 면도",,
3,1,A1-005,Se Serle 전 체 평 면도,1:400,1:800
3,1,A1-011,지 상 1 증 확 대 SAS-1,1:200,1:400
3,1,A1-012,지 상 1 증 확 대 SA-2,1:200,1:400
3,1,A1-013,지 상 2 증 확 대 SAS-1,1:200,1:400
3,1,A1-014,지 상 2 증 Sth SAT-2,1:200,1:400
3,1,A1-015,지 상 3 증 확 대 SA-1,1:200,1:400
3,1,A1-016,지 상 3 증 왁대 SAT-2,1:200,1:400
3,1,A1-017,지 상 4 증 확 대 SAS-1,1:200,1:400
3,1,A1-018,지 왁대 SAT-2,1:200,1:400
3,1,A1-020,지 상 5 증 확 대 평 면 도 -2,1:200,1:400
3,1,A1-021,지 상 6 증 확 대 SAS-1,1:200,1:400
3,1,A1-022,지 상 6 증 확 대 평 면 도 -2 쩨쩨,,
3,1,A1-023,지 상 7 증 확 대 BAL 쩨쩨,,
3,1,A1-024,지 상 8 증 왁대 SA,1:200,1:400
3,1,A1-025,지 상 9 증 확 대 BAS,1:200,1:400
3,1,A1-026,Se 왁대 60s,1:200,
